GEOID,year,median_rent,population,poverty_total,poverty_below,race_total,race_white,race_black,race_native,race_asian,race_pi,race_other,race_mixed,education_no_diploma,education_high_school,education_associates,education_bachelors,education_masters,education_professional,education_doctorate
20000050024,2013,,1523.0,329.0,138.0,1523.0,196.0,158.0,0.0,17.0,0.0,987.0,165.0,486.0,267.0,10.0,14.0,13.0,9.0,0.0
20000051001,2013,,461.0,167.0,28.0,461.0,12.0,140.0,0.0,0.0,0.0,284.0,25.0,236.0,79.0,0.0,32.0,32.0,0.0,0.0
20000051002,2013,,2670.0,879.0,343.0,2670.0,475.0,1111.0,105.0,0.0,0.0,925.0,54.0,635.0,784.0,78.0,76.0,0.0,0.0,0.0
20000051003,2013,,2727.0,911.0,417.0,2727.0,375.0,1149.0,0.0,10.0,0.0,1162.0,31.0,667.0,614.0,61.0,107.0,54.0,2.0,2.0
20000052001,2013,343800.0,565.0,198.0,83.0,565.0,155.0,190.0,0.0,60.0,0.0,97.0,63.0,135.0,176.0,9.0,10.0,40.0,0.0,0.0
20000052002,2013,,1420.0,547.0,275.0,1420.0,158.0,575.0,0.0,0.0,0.0,504.0,183.0,474.0,453.0,26.0,26.0,0.0,0.0,6.0
20000053001,2013,,1356.0,673.0,377.0,1356.0,51.0,850.0,0.0,0.0,0.0,353.0,102.0,214.0,313.0,87.0,112.0,15.0,0.0,0.0
20000053002,2013,,1652.0,589.0,323.0,1652.0,109.0,851.0,56.0,0.0,0.0,458.0,178.0,304.0,334.0,90.0,86.0,49.0,0.0,46.0
20000054001,2013,458300.0,842.0,207.0,88.0,842.0,26.0,102.0,0.0,33.0,0.0,616.0,65.0,351.0,130.0,0.0,12.0,0.0,0.0,0.0
20000054002,2013,450600.0,3138.0,865.0,228.0,3138.0,617.0,1026.0,0.0,15.0,0.0,932.0,548.0,716.0,1197.0,83.0,166.0,7.0,33.0,0.0
20000054003,2013,459200.0,940.0,268.0,101.0,940.0,144.0,128.0,0.0,47.0,0.0,553.0,68.0,225.0,194.0,13.0,31.0,0.0,0.0,0.0
20000054004,2013,146500.0,1132.0,332.0,153.0,1132.0,243.0,152.0,0.0,70.0,0.0,406.0,261.0,301.0,242.0,0.0,60.0,0.0,26.0,0.0
20000056001,2013,213900.0,785.0,425.0,237.0,785.0,115.0,251.0,0.0,0.0,0.0,359.0,60.0,238.0,213.0,26.0,75.0,24.0,0.0,11.0
