GEOID,year,geometry,median_rent,population,poverty_total,poverty_below,race_total,race_white,race_black,race_native,race_asian,race_pi,race_other,race_mixed,education_no_diploma,education_high_school,education_associates,education_bachelors,education_masters,education_professional,education_doctorate,poverty_rate,race_white_share,race_black_share,race_asian_share,race_mixed_share,race_native_pi_other_share,edu_no_diploma_share,edu_high_school_share,edu_associates_share,edu_bachelors_share,edu_masters_share,edu_professional_share,edu_doctorate_share,edu_college_plus,edu_college_plus_share,has_resilience_project,proj_count,projval_total,onenyc_Infrastructure,onenyc_Buildings,onenyc_Coastal Defense,first_project_year,post_project,years_since_project,project_exposure_duration,post_project_lag1,post_project_lag2,post_project_lag3,post_project_lag4,post_project_lag5,evictions_count,eviction_commercial,eviction_residential,eviction_rate_per_1000,high_eviction_year,latitude,longitude
36005000200,2013,"POLYGON ((1021212.604104845 232916.67593183738, 1022365.832803841 234382.72700184572, 1022389.5760010078 234423.20563028654, 1022686.0810015475 234930.1009077585, 1022549.7253029635 235032.2635973909, 1022232.9731778082 235256.19640995993, 1022069.465784475 235376.17176429162, 1021776.8021862927 235601.9698203617, 1021722.2922733837 235946.18323521258, 1021583.375198792 235920.46541249423, 1021558.2468547962 236060.69618754307, 1021824.7364198812 236108.1070655574, 1022080.9860756474 236153.68321495445, 1022336.9579694538 236199.2616385517, 1022592.0990748646 236244.4771167621, 1022848.8983019412 236290.79093056722, 1023080.5146627978 236332.69508832187, 1023125.4469744079 236276.29495652832, 1023450.5164844743 235869.85467847827, 1023504.3260299289 235802.53952339632, 1023634.4148573437 235638.7991637085, 1023790.8547513405 235443.04088134816, 1024074.8757190882 234930.156036264, 1024217.9211199636 234636.3721550226, 1024263.1634128325 234395.62063030925, 1024303.3978530096 234170.52739035606, 1024308.3626896319 234013.8711134761, 1024346.3612407211 233802.25471785865, 1024395.169576863 233583.00523934382, 1024444.4448952634 233416.58535630084, 1024501.0849299348 233149.98544707726, 1024553.3058362658 232877.9133175399, 1024153.6135124407 232837.53973712068, 1023977.2592616883 232841.2578853289, 1023980.4310545558 232764.02389626228, 1023982.9590438603 232741.80355598434, 1023968.9302414575 232517.71408742428, 1024274.7398546453 232413.2881912903, 1024321.7422331108 232450.52805587067, 1024497.44668283 230671.4039818043, 1022191.495508304 229919.34208445068, 1021212.604104845 232916.67593183738))",385400.0,1303.0,400.0,88.0,1303.0,141.0,642.0,0.0,60.0,0.0,438.0,22.0,208.0,519.0,37.0,88.0,51.0,0.0,0.0,0.22,0.1082118188795088,0.4927091327705295,0.0460475825019186,0.0168841135840368,0.3361473522640061,0.1596316193399846,0.3983115886415963,0.0283960092095165,0.0675364543361473,0.0391404451266308,0.0,0.0,139.0,0.1066768994627782,0,0,0.0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0,232964.27165957435,1022987.9394990208
36005000200,2013,"POLYGON ((1021212.604104845 232916.67593183738, 1022365.832803841 234382.72700184572, 1022389.5760010078 234423.20563028654, 1022686.0810015475 234930.1009077585, 1022549.7253029635 235032.2635973909, 1022232.9731778082 235256.19640995993, 1022069.465784475 235376.17176429162, 1021776.8021862927 235601.9698203617, 1021722.2922733837 235946.18323521258, 1021583.375198792 235920.46541249423, 1021558.2468547962 236060.69618754307, 1021824.7364198812 236108.1070655574, 1022080.9860756474 236153.68321495445, 1022336.9579694538 236199.2616385517, 1022592.0990748646 236244.4771167621, 1022848.8983019412 236290.79093056722, 1023080.5146627978 236332.69508832187, 1023125.4469744079 236276.29495652832, 1023450.5164844743 235869.85467847827, 1023504.3260299289 235802.53952339632, 1023634.4148573437 235638.7991637085, 1023790.8547513405 235443.04088134816, 1024074.8757190882 234930.156036264, 1024217.9211199636 234636.3721550226, 1024263.1634128325 234395.62063030925, 1024303.3978530096 234170.52739035606, 1024308.3626896319 234013.8711134761, 1024346.3612407211 233802.25471785865, 1024395.169576863 233583.00523934382, 1024444.4448952634 233416.58535630084, 1024501.0849299348 233149.98544707726, 1024553.3058362658 232877.9133175399, 1024153.6135124407 232837.53973712068, 1023977.2592616883 232841.2578853289, 1023980.4310545558 232764.02389626228, 1023982.9590438603 232741.80355598434, 1023968.9302414575 232517.71408742428, 1024274.7398546453 232413.2881912903, 1024321.7422331108 232450.52805587067, 1024497.44668283 230671.4039818043, 1022191.495508304 229919.34208445068, 1021212.604104845 232916.67593183738))",418000.0,1770.0,486.0,138.0,1770.0,794.0,565.0,0.0,0.0,0.0,371.0,40.0,177.0,558.0,149.0,168.0,22.0,0.0,0.0,0.2839506172839506,0.4485875706214689,0.3192090395480226,0.0,0.0225988700564971,0.2096045197740113,0.1,0.3152542372881356,0.0841807909604519,0.0949152542372881,0.0124293785310734,0.0,0.0,190.0,0.1073446327683615,0,0,0.0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0,232964.27165957435,1022987.9394990208
36005000200,2013,"POLYGON ((1021212.604104845 232916.67593183738, 1022365.832803841 234382.72700184572, 1022389.5760010078 234423.20563028654, 1022686.0810015475 234930.1009077585, 1022549.7253029635 235032.2635973909, 1022232.9731778082 235256.19640995993, 1022069.465784475 235376.17176429162, 1021776.8021862927 235601.9698203617, 1021722.2922733837 235946.18323521258, 1021583.375198792 235920.46541249423, 1021558.2468547962 236060.69618754307, 1021824.7364198812 236108.1070655574, 1022080.9860756474 236153.68321495445, 1022336.9579694538 236199.2616385517, 1022592.0990748646 236244.4771167621, 1022848.8983019412 236290.79093056722, 1023080.5146627978 236332.69508832187, 1023125.4469744079 236276.29495652832, 1023450.5164844743 235869.85467847827, 1023504.3260299289 235802.53952339632, 1023634.4148573437 235638.7991637085, 1023790.8547513405 235443.04088134816, 1024074.8757190882 234930.156036264, 1024217.9211199636 234636.3721550226, 1024263.1634128325 234395.62063030925, 1024303.3978530096 234170.52739035606, 1024308.3626896319 234013.8711134761, 1024346.3612407211 233802.25471785865, 1024395.169576863 233583.00523934382, 1024444.4448952634 233416.58535630084, 1024501.0849299348 233149.98544707726, 1024553.3058362658 232877.9133175399, 1024153.6135124407 232837.53973712068, 1023977.2592616883 232841.2578853289, 1023980.4310545558 232764.02389626228, 1023982.9590438603 232741.80355598434, 1023968.9302414575 232517.71408742428, 1024274.7398546453 232413.2881912903, 1024321.7422331108 232450.52805587067, 1024497.44668283 230671.4039818043, 1022191.495508304 229919.34208445068, 1021212.604104845 232916.67593183738))",474600.0,1785.0,461.0,52.0,1785.0,417.0,297.0,35.0,199.0,0.0,829.0,8.0,294.0,515.0,103.0,149.0,38.0,0.0,0.0,0.1127982646420824,0.2336134453781512,0.1663865546218487,0.111484593837535,0.0044817927170868,0.4840336134453781,0.1647058823529411,0.2885154061624649,0.057703081232493,0.0834733893557422,0.0212885154061624,0.0,0.0,187.0,0.1047619047619047,0,0,0.0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0,232964.27165957435,1022987.9394990208
36005000400,2013,"POLYGON ((1023113.7226130383 236337.8490007698, 1023361.1109981232 236382.69581693492, 1023616.5238962914 236428.651195624, 1023892.4148183328 236477.1930937878, 1024242.7400930079 236540.06991114334, 1024463.8363732133 236580.14826369306, 1024767.6719308238 236633.84720269465, 1025318.61181225 236731.68760854492, 1025453.79355127 236018.54629351498, 1025521.919738667 235999.71666744802, 1025738.8879838146 236027.41217025995, 1026020.592147844 236075.98822176765, 1026293.1581484891 236126.0090478507, 1026585.9277281455 236177.16121745182, 1026703.8950144252 235516.82569148496, 1026851.9463098135 235541.13155193892, 1026750.0201976507 235259.32075197296, 1026772.600358865 235011.24736873768, 1027673.0975664344 235004.82783156488, 1027127.5878054583 233071.41863350125, 1026705.4517474705 231148.80490083375, 1024929.119413269 230813.8506865937, 1024497.44668283 230671.4039818043, 1024321.7422331108 232450.52805587067, 1024274.7398546453 232413.2881912903, 1023968.9302414575 232517.71408742428, 1023982.9590438603 232741.80355598434, 1023980.4310545558 232764.02389626228, 1023977.2592616883 232841.2578853289, 1024153.6135124407 232837.53973712068, 1024553.3058362658 232877.9133175399, 1024501.0849299348 233149.98544707726, 1024444.4448952634 233416.58535630084, 1024395.169576863 233583.00523934382, 1024346.3612407211 233802.25471785865, 1024308.3626896319 234013.8711134761, 1024303.3978530096 234170.52739035606, 1024263.1634128325 234395.62063030925, 1024217.9211199636 234636.3721550226, 1024074.8757190882 234930.156036264, 1023790.8547513405 235443.04088134816, 1023634.4148573437 235638.7991637085, 1023504.3260299289 235802.53952339632, 1023450.5164844743 235869.85467847827, 1023125.4469744079 236276.29495652832, 1023080.5146627978 236332.69508832187, 1023113.7226130383 236337.8490007698))",445900.0,820.0,275.0,68.0,820.0,144.0,234.0,0.0,0.0,0.0,433.0,9.0,151.0,185.0,36.0,39.0,30.0,0.0,0.0,0.2472727272727272,0.1756097560975609,0.2853658536585365,0.0,0.0109756097560975,0.5280487804878049,0.1841463414634146,0.2256097560975609,0.0439024390243902,0.0475609756097561,0.0365853658536585,0.0,0.0,69.0,0.0841463414634146,0,0,0.0,0,0,0,2021,0,-1,0,0,0,0,0,0,0,0,0,0.0,0,233828.8492995716,1025531.9717245776
36005000400,2013,"POLYGON ((1023113.7226130383 236337.8490007698, 1023361.1109981232 236382.69581693492, 1023616.5238962914 236428.651195624, 1023892.4148183328 236477.1930937878, 1024242.7400930079 236540.06991114334, 1024463.8363732133 236580.14826369306, 1024767.6719308238 236633.84720269465, 1025318.61181225 236731.68760854492, 1025453.79355127 236018.54629351498, 1025521.919738667 235999.71666744802, 1025738.8879838146 236027.41217025995, 1026020.592147844 236075.98822176765, 1026293.1581484891 236126.0090478507, 1026585.9277281455 236177.16121745182, 1026703.8950144252 235516.82569148496, 1026851.9463098135 235541.13155193892, 1026750.0201976507 235259.32075197296, 1026772.600358865 235011.24736873768, 1027673.0975664344 235004.82783156488, 1027127.5878054583 233071.41863350125, 1026705.4517474705 231148.80490083375, 1024929.119413269 230813.8506865937, 1024497.44668283 230671.4039818043, 1024321.7422331108 232450.52805587067, 1024274.7398546453 232413.2881912903, 1023968.9302414575 232517.71408742428, 1023982.9590438603 232741.80355598434, 1023980.4310545558 232764.02389626228, 1023977.2592616883 232841.2578853289, 1024153.6135124407 232837.53973712068, 1024553.3058362658 232877.9133175399, 1024501.0849299348 233149.98544707726, 1024444.4448952634 233416.58535630084, 1024395.169576863 233583.00523934382, 1024346.3612407211 233802.25471785865, 1024308.3626896319 234013.8711134761, 1024303.3978530096 234170.52739035606, 1024263.1634128325 234395.62063030925, 1024217.9211199636 234636.3721550226, 1024074.8757190882 234930.156036264, 1023790.8547513405 235443.04088134816, 1023634.4148573437 235638.7991637085, 1023504.3260299289 235802.53952339632, 1023450.5164844743 235869.85467847827, 1023125.4469744079 236276.29495652832, 1023080.5146627978 236332.69508832187, 1023113.7226130383 236337.8490007698))",354800.0,1344.0,454.0,71.0,1344.0,500.0,234.0,0.0,81.0,0.0,519.0,10.0,217.0,397.0,114.0,142.0,22.0,0.0,0.0,0.1563876651982378,0.3720238095238095,0.1741071428571428,0.0602678571428571,0.0074404761904761,0.3861607142857143,0.1614583333333333,0.2953869047619047,0.0848214285714285,0.1056547619047619,0.0163690476190476,0.0,0.0,164.0,0.1220238095238095,0,0,0.0,0,0,0,2021,0,-1,0,0,0,0,0,0,0,0,0,0.0,0,233828.8492995716,1025531.9717245776
36005000400,2013,"POLYGON ((1023113.7226130383 236337.8490007698, 1023361.1109981232 236382.69581693492, 1023616.5238962914 236428.651195624, 1023892.4148183328 236477.1930937878, 1024242.7400930079 236540.06991114334, 1024463.8363732133 236580.14826369306, 1024767.6719308238 236633.84720269465, 1025318.61181225 236731.68760854492, 1025453.79355127 236018.54629351498, 1025521.919738667 235999.71666744802, 1025738.8879838146 236027.41217025995, 1026020.592147844 236075.98822176765, 1026293.1581484891 236126.0090478507, 1026585.9277281455 236177.16121745182, 1026703.8950144252 235516.82569148496, 1026851.9463098135 235541.13155193892, 1026750.0201976507 235259.32075197296, 1026772.600358865 235011.24736873768, 1027673.0975664344 235004.82783156488, 1027127.5878054583 233071.41863350125, 1026705.4517474705 231148.80490083375, 1024929.119413269 230813.8506865937, 1024497.44668283 230671.4039818043, 1024321.7422331108 232450.52805587067, 1024274.7398546453 232413.2881912903, 1023968.9302414575 232517.71408742428, 1023982.9590438603 232741.80355598434, 1023980.4310545558 232764.02389626228, 1023977.2592616883 232841.2578853289, 1024153.6135124407 232837.53973712068, 1024553.3058362658 232877.9133175399, 1024501.0849299348 233149.98544707726, 1024444.4448952634 233416.58535630084, 1024395.169576863 233583.00523934382, 1024346.3612407211 233802.25471785865, 1024308.3626896319 234013.8711134761, 1024303.3978530096 234170.52739035606, 1024263.1634128325 234395.62063030925, 1024217.9211199636 234636.3721550226, 1024074.8757190882 234930.156036264, 1023790.8547513405 235443.04088134816, 1023634.4148573437 235638.7991637085, 1023504.3260299289 235802.53952339632, 1023450.5164844743 235869.85467847827, 1023125.4469744079 236276.29495652832, 1023080.5146627978 236332.69508832187, 1023113.7226130383 236337.8490007698))",322700.0,2669.0,865.0,0.0,2669.0,695.0,959.0,0.0,14.0,0.0,936.0,65.0,185.0,906.0,277.0,357.0,169.0,0.0,0.0,0.0,0.2603971524915698,0.3593106032221806,0.0052454102660172,0.0243536905207943,0.350693143499438,0.0693143499437991,0.3394529786436868,0.1037841888347695,0.1337579617834395,0.0633195953540651,0.0,0.0,526.0,0.1970775571375047,0,0,0.0,0,0,0,2021,0,-1,0,0,0,0,0,0,0,0,0,0.0,0,233828.8492995716,1025531.9717245776
36005000400,2013,"POLYGON ((1023113.7226130383 236337.8490007698, 1023361.1109981232 236382.69581693492, 1023616.5238962914 236428.651195624, 1023892.4148183328 236477.1930937878, 1024242.7400930079 236540.06991114334, 1024463.8363732133 236580.14826369306, 1024767.6719308238 236633.84720269465, 1025318.61181225 236731.68760854492, 1025453.79355127 236018.54629351498, 1025521.919738667 235999.71666744802, 1025738.8879838146 236027.41217025995, 1026020.592147844 236075.98822176765, 1026293.1581484891 236126.0090478507, 1026585.9277281455 236177.16121745182, 1026703.8950144252 235516.82569148496, 1026851.9463098135 235541.13155193892, 1026750.0201976507 235259.32075197296, 1026772.600358865 235011.24736873768, 1027673.0975664344 235004.82783156488, 1027127.5878054583 233071.41863350125, 1026705.4517474705 231148.80490083375, 1024929.119413269 230813.8506865937, 1024497.44668283 230671.4039818043, 1024321.7422331108 232450.52805587067, 1024274.7398546453 232413.2881912903, 1023968.9302414575 232517.71408742428, 1023982.9590438603 232741.80355598434, 1023980.4310545558 232764.02389626228, 1023977.2592616883 232841.2578853289, 1024153.6135124407 232837.53973712068, 1024553.3058362658 232877.9133175399, 1024501.0849299348 233149.98544707726, 1024444.4448952634 233416.58535630084, 1024395.169576863 233583.00523934382, 1024346.3612407211 233802.25471785865, 1024308.3626896319 234013.8711134761, 1024303.3978530096 234170.52739035606, 1024263.1634128325 234395.62063030925, 1024217.9211199636 234636.3721550226, 1024074.8757190882 234930.156036264, 1023790.8547513405 235443.04088134816, 1023634.4148573437 235638.7991637085, 1023504.3260299289 235802.53952339632, 1023450.5164844743 235869.85467847827, 1023125.4469744079 236276.29495652832, 1023080.5146627978 236332.69508832187, 1023113.7226130383 236337.8490007698))",450000.0,511.0,159.0,14.0,511.0,0.0,141.0,0.0,21.0,0.0,349.0,0.0,47.0,204.0,7.0,61.0,41.0,0.0,0.0,0.0880503144654088,0.0,0.2759295499021526,0.0410958904109589,0.0,0.6829745596868885,0.0919765166340508,0.3992172211350293,0.0136986301369863,0.1193737769080234,0.0802348336594911,0.0,0.0,102.0,0.1996086105675146,0,0,0.0,0,0,0,2021,0,-1,0,0,0,0,0,0,0,0,0,0.0,0,233828.8492995716,1025531.9717245776
36005001600,2013,"POLYGON ((1022317.8665809887 237780.81605397494, 1022576.0305111813 237829.31519654716, 1022436.9697931581 238605.13278417054, 1022690.1479616376 238650.34629132773, 1022944.984671195 238696.29376519035, 1023202.5881542232 238742.2483652032, 1023478.7309198278 238790.42171553802, 1023428.1869632199 239067.6002640142, 1024295.0552580524 239221.3093926168, 1024344.2219447477 238945.95202273517, 1024391.4523175266 238670.59157919182, 1024435.85256992 238433.48192319204, 1024483.6221989593 238167.9597035951, 1024621.8792693362 237416.9274458107, 1024675.7678326317 237136.11377632024, 1024721.0046182855 236898.64185596397, 1024767.6719308238 236633.84720269465, 1024463.8363732133 236580.14826369306, 1024242.7400930079 236540.06991114334, 1023892.4148183328 236477.1930937878, 1023616.5238962914 236428.651195624, 1023361.1109981232 236382.69581693492, 1023113.7226130383 236337.8490007698, 1023080.5146627978 236332.69508832187, 1022848.8983019412 236290.79093056722, 1022592.0990748646 236244.4771167621, 1022452.4891043579 237011.54913316612, 1022425.6955197536 237152.14079663344, 1022317.8665809887 237780.81605397494))",463000.0,767.0,319.0,118.0,767.0,304.0,263.0,0.0,0.0,0.0,190.0,10.0,112.0,237.0,5.0,123.0,0.0,31.0,0.0,0.3699059561128526,0.3963494132985658,0.3428943937418514,0.0,0.0130378096479791,0.2477183833116036,0.1460234680573663,0.3089960886571056,0.0065189048239895,0.1603650586701434,0.0,0.0404172099087353,0.0,154.0,0.2007822685788787,0,0,0.0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0,237637.296734378,1023532.530519096
36005001600,2013,"POLYGON ((1022317.8665809887 237780.81605397494, 1022576.0305111813 237829.31519654716, 1022436.9697931581 238605.13278417054, 1022690.1479616376 238650.34629132773, 1022944.984671195 238696.29376519035, 1023202.5881542232 238742.2483652032, 1023478.7309198278 238790.42171553802, 1023428.1869632199 239067.6002640142, 1024295.0552580524 239221.3093926168, 1024344.2219447477 238945.95202273517, 1024391.4523175266 238670.59157919182, 1024435.85256992 238433.48192319204, 1024483.6221989593 238167.9597035951, 1024621.8792693362 237416.9274458107, 1024675.7678326317 237136.11377632024, 1024721.0046182855 236898.64185596397, 1024767.6719308238 236633.84720269465, 1024463.8363732133 236580.14826369306, 1024242.7400930079 236540.06991114334, 1023892.4148183328 236477.1930937878, 1023616.5238962914 236428.651195624, 1023361.1109981232 236382.69581693492, 1023113.7226130383 236337.8490007698, 1023080.5146627978 236332.69508832187, 1022848.8983019412 236290.79093056722, 1022592.0990748646 236244.4771167621, 1022452.4891043579 237011.54913316612, 1022425.6955197536 237152.14079663344, 1022317.8665809887 237780.81605397494))",393100.0,1444.0,417.0,63.0,1444.0,512.0,144.0,0.0,0.0,0.0,777.0,11.0,231.0,441.0,55.0,68.0,27.0,2.0,0.0,0.1510791366906475,0.3545706371191136,0.0997229916897507,0.0,0.0076177285318559,0.5380886426592798,0.159972299168975,0.3054016620498615,0.0380886426592797,0.0470914127423822,0.0186980609418282,0.0013850415512465,0.0,97.0,0.067174515235457,0,0,0.0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0,237637.296734378,1023532.530519096
36005002800,2013,"POLYGON ((1016241.4857904894 239128.46187466013, 1016698.0192937617 239230.3541837156, 1016748.9304367317 239240.98813942395, 1016967.5155757754 239286.8242204132, 1017481.3531336766 239374.5995642073, 1017741.7550092585 239400.4614671823, 1017997.7012019103 239445.62981197273, 1018254.4762283395 239491.16636030914, 1018509.8654416561 239537.4323456376, 1018766.6385408627 239582.97432033232, 1018930.4416214655 239611.9906907264, 1019019.8137995102 239627.78518311254, 1019062.9810472693 239633.3121828301, 1019245.6106851449 239657.25701076354, 1019279.4110532012 239632.89526007674, 1019284.7316846962 239589.91120787774, 1019293.1362398542 239519.6063572903, 1019402.5418760678 238889.46222045485, 1019548.4345211127 238105.98615472444, 1019385.455504977 238074.78081727365, 1018669.0593994276 237939.67738915927, 1018536.2387362549 237914.7143178804, 1018060.8332675229 237836.807360656, 1017528.1428109162 237749.72262723415, 1017313.4352077757 237489.6570193961, 1017193.1463526597 237405.69591495287, 1016786.5930987427 237780.777763132, 1016733.5422545988 237918.79013966618, 1016414.4141943601 238750.87361130663, 1016264.6289019589 238998.7885836407, 1016256.2656610103 239044.31961939327, 1016245.6700234045 239103.69250486608, 1016241.4857904894 239128.46187466013))",406800.0,1504.0,621.0,43.0,1504.0,186.0,800.0,0.0,0.0,0.0,405.0,113.0,292.0,386.0,186.0,154.0,108.0,0.0,0.0,0.0692431561996779,0.1236702127659574,0.5319148936170213,0.0,0.0751329787234042,0.269281914893617,0.1941489361702127,0.2566489361702128,0.1236702127659574,0.1023936170212766,0.0718085106382978,0.0,0.0,262.0,0.1742021276595744,0,0,0.0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0,238632.17638977268,1017957.224281184
